"CollectedDate","Path","Title","TotalViews","UniqueVisitors"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability","GitHub - ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for...","211","106"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main ┬╖ ZacharyLuz/Get-AzVMAv...","33","13"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/blob/main/README.md","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main ┬╖ ZacharyLuz/Get-AzVMAv...","7","5"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/graphs/traffic","Traffic ┬╖ ZacharyLuz/Get-AzVMAvailability","10","1"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub ┬╖ Where software is built","17","6"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ┬╖...","9","2"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/issues/31","Clear up multi-subscription selection reporting ┬╖ Issue #31 ┬╖ ZacharyLuz/Get-...","7","4"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 ΓÇö placement scores, spot pricing, interactive prompts by Zachar...","10","1"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests ┬╖ ZacharyLuz/Get-AzVMAvailability","8","1"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/releases","Releases ┬╖ ZacharyLuz/Get-AzVMAvailability","9","5"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability","GitHub - ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for...","207","103"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main ┬╖ ZacharyLuz/Get-AzVMAv...","32","13"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/graphs/traffic","Traffic ┬╖ ZacharyLuz/Get-AzVMAvailability","8","1"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub ┬╖ Where software is built","19","6"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ┬╖...","10","2"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/issues/31","Clear up multi-subscription selection reporting ┬╖ Issue #31 ┬╖ ZacharyLuz/Get-...","7","4"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 ΓÇö placement scores, spot pricing, interactive prompts by Zachar...","10","1"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/pull/49","fix: address post-merge Copilot PR #48 comments ΓÇö git ls-files docs scan + Re...","7","1"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests ┬╖ ZacharyLuz/Get-AzVMAvailability","14","1"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/releases","Releases ┬╖ ZacharyLuz/Get-AzVMAvailability","9","5"
"2026-03-20","/ZacharyLuz/Get-AzVMAvailability","GitHub - ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for...",207,103
"2026-03-20","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",32,13
"2026-03-20","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",19,6
"2026-03-20","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",14,1
"2026-03-20","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ·...",10,2
"2026-03-20","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 — placement scores, spot pricing, interactive prompts by Zachar...",10,1
"2026-03-20","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",9,5
"2026-03-20","/ZacharyLuz/Get-AzVMAvailability/graphs/traffic","Traffic · ZacharyLuz/Get-AzVMAvailability",8,1
"2026-03-20","/ZacharyLuz/Get-AzVMAvailability/issues/31","Clear up multi-subscription selection reporting · Issue #31 · ZacharyLuz/Get-...",7,4
"2026-03-20","/ZacharyLuz/Get-AzVMAvailability/pull/49","fix: address post-merge Copilot PR #48 comments — git ls-files docs scan + Re...",7,1
"2026-03-21","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",213,99
"2026-03-21","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",38,1
"2026-03-21","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",34,13
"2026-03-21","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",20,6
"2026-03-21","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-21","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",12,7
"2026-03-21","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ·...",10,2
"2026-03-21","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 — placement scores, spot pricing, interactive prompts by Zachar...",10,1
"2026-03-21","/ZacharyLuz/Get-AzVMAvailability/graphs/traffic","Traffic · ZacharyLuz/Get-AzVMAvailability",9,1
"2026-03-21","/ZacharyLuz/Get-AzVMAvailability/pull/77","chore: v2.0.0 prep — exit→throw, List[T] perf, archive internal docs (#68, #7...",9,1
"2026-03-22","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",209,93
"2026-03-22","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",49,1
"2026-03-22","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",35,12
"2026-03-22","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",19,5
"2026-03-22","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-22","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",10,6
"2026-03-22","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ·...",10,2
"2026-03-22","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 — placement scores, spot pricing, interactive prompts by Zachar...",10,1
"2026-03-22","/ZacharyLuz/Get-AzVMAvailability/tree/main","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",9,3
"2026-03-22","/ZacharyLuz/Get-AzVMAvailability/graphs/traffic","Traffic · ZacharyLuz/Get-AzVMAvailability",9,1
"2026-03-23","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",213,90
"2026-03-23","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",60,1
"2026-03-23","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",39,12
"2026-03-23","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",19,5
"2026-03-23","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-23","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-23","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",11,5
"2026-03-23","/ZacharyLuz/Get-AzVMAvailability/tree/main","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",10,3
"2026-03-23","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ·...",10,2
"2026-03-23","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 — placement scores, spot pricing, interactive prompts by Zachar...",10,1
"2026-03-24","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",213,89
"2026-03-24","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",61,1
"2026-03-24","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",41,12
"2026-03-24","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",19,5
"2026-03-24","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-24","/ZacharyLuz/Get-AzVMAvailability/tree/main","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",13,3
"2026-03-24","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-24","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",11,5
"2026-03-24","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ·...",10,2
"2026-03-24","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 — placement scores, spot pricing, interactive prompts by Zachar...",10,1
"2026-03-25","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",212,82
"2026-03-25","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",61,1
"2026-03-25","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",42,12
"2026-03-25","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",19,5
"2026-03-25","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-25","/ZacharyLuz/Get-AzVMAvailability/tree/main","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",13,3
"2026-03-25","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-25","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",11,5
"2026-03-25","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ·...",10,2
"2026-03-25","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 — placement scores, spot pricing, interactive prompts by Zachar...",10,1
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",190,73
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",61,1
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",35,10
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",19,5
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/tree/main","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",14,4
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",10,4
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ·...",10,2
"2026-03-26","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 — placement scores, spot pricing, interactive prompts by Zachar...",10,1
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",162,63
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",67,3
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",31,10
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/pull/99","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",18,4
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/pull/99/commits","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",14,3
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/tree/main","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",12,4
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",11,4
"2026-03-27","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",9,4
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",162,63
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",67,3
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",31,10
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/pull/99","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",18,4
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/pull/99/commits","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",14,3
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/tree/main","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",12,4
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",11,4
"2026-03-28","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",9,4
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",204,91
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",78,4
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",25,11
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",21,10
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/pull/99","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",18,4
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/pull/99/commits","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",14,3
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/pull/100","Install impr by joelbyford · Pull Request #100 · ZacharyLuz/Get-AzVMAvailabil...",12,1
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-29","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",10,5
"2026-03-30","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",201,89
"2026-03-30","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",77,4
"2026-03-30","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",25,11
"2026-03-30","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",20,10
"2026-03-30","/ZacharyLuz/Get-AzVMAvailability/pull/99","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",18,4
"2026-03-30","/ZacharyLuz/Get-AzVMAvailability/pull/99/commits","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",14,3
"2026-03-30","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-30","/ZacharyLuz/Get-AzVMAvailability/pull/100","Install impr by joelbyford · Pull Request #100 · ZacharyLuz/Get-AzVMAvailabil...",12,1
"2026-03-30","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-30","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",10,5
"2026-03-31","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",199,88
"2026-03-31","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",77,4
"2026-03-31","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",23,10
"2026-03-31","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",20,10
"2026-03-31","/ZacharyLuz/Get-AzVMAvailability/pull/99","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",18,4
"2026-03-31","/ZacharyLuz/Get-AzVMAvailability/pull/99/commits","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",14,3
"2026-03-31","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-03-31","/ZacharyLuz/Get-AzVMAvailability/pull/100","Install impr by joelbyford · Pull Request #100 · ZacharyLuz/Get-AzVMAvailabil...",13,2
"2026-03-31","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-03-31","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",10,5
"2026-04-01","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",198,83
"2026-04-01","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",79,4
"2026-04-01","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",23,10
"2026-04-01","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",20,10
"2026-04-01","/ZacharyLuz/Get-AzVMAvailability/pull/99","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",18,4
"2026-04-01","/ZacharyLuz/Get-AzVMAvailability/pull/100","Install impr by joelbyford · Pull Request #100 · ZacharyLuz/Get-AzVMAvailabil...",16,4
"2026-04-01","/ZacharyLuz/Get-AzVMAvailability/pull/99/commits","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",14,3
"2026-04-01","/ZacharyLuz/Get-AzVMAvailability/pull/79","fix: inline parallel scan logic to fix ForEach-Object -Parallel scriptblock e...",14,1
"2026-04-01","/ZacharyLuz/Get-AzVMAvailability/pull/89","feat: module scaffold — extract 34 functions into AzVMAvailability/ module by...",12,1
"2026-04-01","/ZacharyLuz/Get-AzVMAvailability/releases","Releases · ZacharyLuz/Get-AzVMAvailability",10,5
"2026-04-02","/ZacharyLuz/Get-AzVMAvailability","ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for checking...",193,84
"2026-04-02","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests · ZacharyLuz/Get-AzVMAvailability",78,4
"2026-04-02","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main · ZacharyLuz/Get-AzVMAv...",24,8
"2026-04-02","/ZacharyLuz/Get-AzVMAvailability/pull/99","feat: Lifecycle Management — recommendations, live scan, upgrade path knowled...",20,5
"2026-04-02","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub · Where software is built",17,8
